,name,nickname,wins,losses,draws,height,weight,reach,stance,dob,sig_str_pm,str_acc,strikes_abs_pm,sig_str_def,td_avg,td_acc,td_def,sub_avg
2637,Brad Mitchell,,4,2,0 (1 NC),"5' 11""",145 lbs.,--,,"Oct 10, 1974",1.15,33%,4.20,52%,0.00,0%,100%,1.9
2638,Clay Mitchell,,1,2,0,"6' 2""",185 lbs.,--,,--,1.63,85%,0.00,0%,0.00,0%,100%,4.1
2639,Bryce Mitchell,Thug Nasty,18,4,0,"5' 10""",135 lbs.,"70""",Southpaw,"Oct 04, 1994",2.27,59%,1.60,58%,3.24,36%,33%,1.2
2640,Maurice Mitchell,The AK Kid,11,2,0,"5' 9""",145 lbs.,--,Orthodox,"Jun 29, 1987",3.80,55%,3.54,60%,0.00,0%,100%,0.0
2641,Terrence Mitchell,,14,4,0,"5' 10""",135 lbs.,"74""",Orthodox,"Dec 30, 1989",2.21,34%,8.85,41%,3.69,50%,0%,0.0
2642,Roman Mitichyan,,8,3,0,"5' 10""",170 lbs.,--,Orthodox,"Sep 04, 1978",0.26,16%,2.70,43%,1.93,100%,25%,1.9
2643,Matt Mitrione,,12,5,0,"6' 3""",265 lbs.,"82""",Switch,"Jul 15, 1978",3.55,50%,2.79,64%,0.00,0%,55%,0.7
2644,Eiji Mitsuoka,,18,9,2,"5' 7""",145 lbs.,--,Southpaw,"Jan 01, 1976",1.49,49%,2.26,45%,2.30,36%,20%,1.6
2645,Hiromitsu Miura,,12,7,0,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1981",2.12,34%,2.12,58%,2.23,50%,69%,0.6
2646,Jonathan  Mix,,7,4,0,"6' 0""",168 lbs.,--,,"Nov 09, 1980",0.00,0%,0.00,0%,0.00,0%,0%,0.0
2647,Patchy Mix,No Love,20,3,0,"5' 11""",135 lbs.,"70""",Southpaw,"Aug 16, 1993",5.30,43%,7.30,43%,2.50,62%,0%,0.0
2648,Tomoya Miyashita,,17,9,7,"5' 7""",139 lbs.,--,Southpaw,"Jul 20, 1981",1.67,65%,0.93,33%,4.00,80%,0%,2.0
2649,Kazuyuki Miyata,,15,9,0,"5' 8""",139 lbs.,--,Orthodox,"Jan 29, 1976",2.04,52%,1.82,63%,4.31,46%,68%,0.0
2650,Motoki Miyazawa,,7,3,0,"5' 11""",168 lbs.,--,Southpaw,"Apr 23, 1985",1.23,28%,3.91,61%,0.00,0%,0%,0.0
2651,Takeya Mizugaki,,21,11,2,"5' 7""",135 lbs.,"69""",Orthodox,"Dec 16, 1983",3.37,37%,3.27,57%,1.46,57%,70%,0.1
2652,Mizuki,,16,6,0,"5' 3""",115 lbs.,"65""",Orthodox,"Aug 19, 1994",4.45,52%,4.65,49%,0.75,33%,80%,0.0
2653,Tatsuya Mizuno,,16,12,1,"6' 1""",205 lbs.,--,Southpaw,"Jun 02, 1981",2.25,37%,3.52,53%,1.19,25%,40%,3.6
2654,Roxanne Modafferi,The Happy Warrior,25,21,0,"5' 7""",125 lbs.,"69""",Orthodox,"Sep 24, 1982",3.35,30%,5.70,51%,1.35,23%,30%,0.1
2655,Bobby Moffett,The Wolfman,13,5,0 (1 NC),"5' 10""",145 lbs.,"73""",Orthodox,"Jun 01, 1990",3.41,39%,3.15,61%,2.74,66%,66%,1.4
2656,Bronson Mohika,,1,1,0,--,135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
2657,Nate Mohr,,9,7,0,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 03, 1983",3.79,41%,2.50,74%,0.45,50%,71%,0.0
2658,Renato Moicano,,20,7,1,"5' 11""",155 lbs.,"72""",Orthodox,"May 21, 1989",4.17,48%,3.57,59%,1.67,41%,62%,0.5
2659,Thiago Moises,,19,9,0,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",2.48,42%,4.08,53%,1.31,35%,52%,1.1
2660,Muhammad Mokaev,The Punisher,13,0,0 (1 NC),"5' 7""",125 lbs.,"70""",Orthodox,"Jul 30, 2000",1.61,45%,1.35,57%,5.29,41%,25%,0.8
2661,Ashkan Mokhtarian,The Assassin,13,3,0,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985",1.95,43%,3.66,43%,0.54,16%,33%,0.0
2662,Suman Mokhtarian,,8,5,0,"5' 8""",145 lbs.,"72""",Orthodox,"Jun 13, 1992",2.21,43%,6.85,48%,0.00,0%,0%,0.0
2663,Dan Molina,,13,9,0,"5' 10""",216 lbs.,--,,"Jun 14, 1984",0.00,0%,5.58,60%,0.00,0%,0%,20.9
2664,Jeff Molina,El Jefe,11,2,0,"5' 6""",125 lbs.,"69""",Orthodox,"Jul 17, 1997",7.25,48%,5.04,55%,0.00,0%,66%,0.0
2665,Rudyard Moncayo,,0,3,0,"5' 10""",195 lbs.,--,Orthodox,"May 17, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0
2666,Hidetaka Monma,,18,11,4,"6' 0""",168 lbs.,--,Orthodox,"Oct 23, 1973",1.67,25%,9.76,34%,0.00,0%,0%,0.0
2667,Jeff Monson,The Snowman,60,26,1,"5' 9""",247 lbs.,"74""",Orthodox,"Jan 18, 1971",0.97,30%,2.87,59%,1.06,12%,66%,0.7
2668,Darrell Montague,Mongoose,13,5,0,"5' 6""",125 lbs.,"67""",Southpaw,"Nov 03, 1987",1.92,25%,5.38,52%,0.72,25%,33%,1.4
2669,Michelle Montague,The Wild One,7,0,0,"5' 9""",135 lbs.,"68""",Southpaw,"Nov 25, 1993",2.73,46%,3.20,41%,5.00,71%,0%,0.0
2670,Andrew Montanez,,9,12,1,--,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
2671,Jose Montanha,,6,1,0,--,265 lbs.,--,,"Aug 25, 1996",0.00,0%,0.00,0%,0.00,0%,0%,0.0
2672,Augusto Montano,Dodger,15,3,0,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 25, 1984",3.46,46%,2.66,56%,0.00,0%,66%,0.0
2673,Erick Montano,Perry,7,5,0,"6' 0""",170 lbs.,"73""",Orthodox,"Nov 19, 1985",2.79,44%,2.06,64%,2.29,36%,66%,0.0
2674,Nicco Montano,,5,3,0,"5' 5""",135 lbs.,"65""",Southpaw,"Dec 16, 1988",5.60,41%,4.43,64%,2.25,54%,69%,0.4
2675,Antonio Monteiro,Junior Negao,17,5,1 (1 NC),"5' 7""",145 lbs.,"70""",Orthodox,"Jul 02, 1995",3.93,49%,8.33,33%,1.00,33%,66%,1.0
2676,Sofia Montenegro,La Bruja,6,2,0,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 18, 1999",4.27,40%,5.67,48%,1.00,25%,100%,0.0
2677,Alberto Montes,The Promise,11,1,0,"5' 7""",145 lbs.,"69""",Orthodox,"May 31, 1994",4.98,66%,4.85,57%,0.00,0%,66%,9.8
2678,Steve Montgomery,The Creepy Weasel,9,5,0,"6' 4""",185 lbs.,--,Southpaw,"Dec 19, 1990",4.85,39%,4.12,47%,0.00,0%,64%,0.0
2679,James Moontasri,Moon Walker,9,5,0,"5' 10""",170 lbs.,"71""",Switch,"Apr 10, 1988",2.39,48%,3.86,40%,0.00,0%,79%,0.2
2680,Homer Moore,The Rock,26,9,2,"5' 10""",205 lbs.,--,Orthodox,"Nov 27, 1971",0.68,50%,0.68,0%,5.07,66%,0%,0.0
2681,Todd Moore,,16,7,0,"5' 9""",170 lbs.,"71""",Southpaw,"Dec 30, 1983",1.83,26%,2.30,57%,0.78,14%,54%,0.0
2682,Nate Moore,,8,4,0,"6' 0""",170 lbs.,--,,"Apr 06, 1983",2.21,25%,2.87,42%,1.23,16%,25%,0.0
2683,Dustin Moore,,0,2,0,"5' 4""",125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
2684,Taylor Moore,,10,5,0,"5' 10""",135 lbs.,"70""",Southpaw,"Oct 16, 1993",0.20,75%,2.07,42%,0.00,0%,25%,0.0
2685,Sergio Moraes,The Panther,14,6,1,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2.42,42%,3.73,59%,1.20,38%,75%,0.4
2686,Marlon Moraes,Magic,23,10,1,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",3.37,40%,4.53,54%,0.87,41%,46%,0.3
2687,Sheymon Moraes,,11,4,0,"5' 8""",145 lbs.,"72""",Orthodox,"Oct 11, 1990",3.00,42%,3.64,63%,0.00,0%,53%,0.0
2688,John Moraga,,19,7,0,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2.57,43%,2.55,56%,0.62,23%,44%,1.1
2689,Ricardo Morais,The Mutant,10,4,1,"6' 8""",270 lbs.,--,Orthodox,"Feb 26, 1967",2.86,37%,2.39,53%,0.00,0%,0%,0.0
2690,Leonardo Morales,Chimy,6,2,0,"5' 8""",135 lbs.,--,Southpaw,"Dec 22, 1992",2.05,47%,2.05,58%,0.00,0%,62%,0.0
2691,Albert Morales,The Warrior,7,4,1,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991",3.81,35%,3.96,56%,0.91,35%,70%,0.2
2692,Joseph Morales,Bopo,15,2,0,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",2.00,40%,2.05,57%,1.14,42%,26%,3.0
2693,Vince Morales,Vandetta,16,10,0,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 12, 1990",3.57,37%,4.00,53%,0.59,40%,58%,0.5
2694,Omar Morales,Venezuelan Fighter,11,4,0,"5' 11""",155 lbs.,"73""",Orthodox,"Oct 17, 1985",3.42,40%,3.18,58%,0.46,100%,63%,0.0
2695,Michael Morales,,19,0,0,"6' 0""",170 lbs.,"79""",Orthodox,"Jun 24, 1999",5.68,49%,3.26,53%,1.04,41%,89%,0.0
2696,Sarah Moras,Cheesecake,6,8,0,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 30, 1988",2.28,34%,3.58,50%,0.67,21%,33%,0.8
2697,Christian Morecraft,,8,3,0,"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986",2.82,34%,2.46,46%,3.26,66%,50%,2.2
2698,Joe Moreira,,2,2,0,"5' 11""",195 lbs.,--,Southpaw,"Jul 03, 1961",0.00,0%,0.00,0%,0.00,0%,0%,0.0
2699,Richardson Moreira,Rick Monstro,7,4,0,"6' 2""",185 lbs.,--,Orthodox,"Mar 31, 1984",1.17,28%,1.83,67%,0.00,0%,100%,0.0
2700,Gisele Moreira,,8,3,0,"5' 6""",135 lbs.,--,Orthodox,"Jan 14, 1981",5.93,42%,6.33,48%,4.00,57%,0%,0.0
2701,Vinicius Moreira,Mamute,9,5,0,"6' 4""",205 lbs.,"76""",Orthodox,"Feb 28, 1989",3.15,59%,5.07,43%,1.97,18%,0%,1.3
2702,Jesse Moreng,Arturo,9,1,0,"5' 7""",145 lbs.,--,Orthodox,"Nov 09, 1979",1.26,40%,2.08,48%,5.56,100%,100%,0.0
2703,Brandon Moreno,The Assassin Baby,23,9,2,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993",3.89,44%,3.62,60%,1.47,44%,64%,0.4
2704,Mike Moreno,El Palo Duro,6,5,0,"6' 0""",185 lbs.,--,,--,1.27,51%,1.07,58%,0.00,0%,44%,0.0
2705,Dan Moret,The Hitman,13,6,0,"6' 0""",155 lbs.,"73""",Southpaw,"Nov 21, 1986",2.67,43%,3.56,43%,1.25,27%,45%,0.4
2706,Sammy Morgan,The Squeeze,18,12,0,"5' 10""",170 lbs.,--,Orthodox,"Sep 28, 1981",1.05,22%,3.74,40%,1.43,20%,0%,0.5
2707,Peggy Morgan,The Daywalker,4,4,0,"6' 1""",135 lbs.,--,,"Dec 16, 1979",2.27,23%,8.20,33%,0.00,0%,50%,0.0
2708,Alexander Morgan,The Chess Master,11,5,0,"5' 10""",145 lbs.,"71""",Orthodox,"May 14, 1991",3.71,44%,2.78,47%,0.00,0%,0%,0.0
2709,Alex Morono,The Great White,24,13,0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",4.90,39%,4.88,55%,0.32,24%,47%,0.3
2710,Maryna Moroz,Iron Lady,11,6,0,"5' 7""",125 lbs.,"67""",Orthodox,"Sep 08, 1991",4.42,33%,4.89,51%,0.70,24%,42%,0.6
2711,Sergey Morozov,,19,5,0,"5' 6""",135 lbs.,"67""",Orthodox,"Jun 14, 1989",3.01,43%,2.97,61%,3.63,31%,68%,0.0
2712,Brad Morris,,10,6,0,"6' 2""",205 lbs.,--,Orthodox,"Nov 01, 1979",0.50,62%,6.95,27%,0.00,0%,0%,0.0
2713,Scott Morris,,2,1,0,"5' 10""",210 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
2714,Anthony Morrison,Cheesesteak,20,12,0 (1 NC),"5' 7""",145 lbs.,--,Orthodox,"Mar 29, 1984",1.70,33%,0.49,80%,0.00,0%,50%,0.0
2715,Jack Morrison,,0,3,0,"5' 11""",205 lbs.,--,,--,0.00,0%,19.31,40%,0.00,0%,0%,0.0
2716,Harry Moskowitz,Dirty,6,12,0,"6' 5""",275 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
2717,Carlos Mota,Tizil,8,2,0,"5' 4""",125 lbs.,"69""",Orthodox,"Apr 15, 1995",0.80,41%,1.13,54%,0.00,0%,50%,1.0
2718,Miki Motono,,8,5,0,"5' 2""",115 lbs.,"63""",Southpaw,"May 18, 1994",1.27,27%,4.20,57%,3.00,30%,0%,1.0
2719,Juan Mott,,3,4,0,"6' 0""",190 lbs.,--,Switch,"Dec 07, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0
2720,Nikolas Motta,Iron,15,6,0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"Feb 08, 1993",4.13,38%,5.28,52%,0.00,0%,83%,0.0
2721,Flavio Luiz Moura,,19,7,0,"5' 11""",183 lbs.,--,Open Stance,"Jan 26, 1976",0.67,16%,0.00,0%,0.00,0%,0%,0.0
2722,Eduarda Moura,Ronda,12,2,0,"5' 6""",125 lbs.,"67""",Orthodox,"Feb 28, 1994",2.57,37%,2.50,58%,3.58,34%,80%,0.4
2723,Gegard Mousasi,,42,6,2,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 01, 1985",3.75,50%,1.21,68%,1.59,60%,59%,1.1
2724,Kris Moutinho,,14,7,0,"5' 7""",135 lbs.,"68""",Southpaw,"Aug 09, 1992",4.51,31%,14.68,29%,0.00,0%,0%,0.0
2725,Kin Moy,Kong,8,3,0,"5' 5""",135 lbs.,--,,--,2.30,33%,1.93,62%,1.67,42%,50%,1.7
2726,Jamie Moyle,,4,3,0,"5' 1""",115 lbs.,"65""",Orthodox,"Mar 17, 1989",4.51,51%,4.00,65%,1.00,21%,50%,0.0
2727,Askar Mozharov,,19,13,0,"6' 3""",205 lbs.,"74""",Orthodox,"Oct 26, 1994",0.43,18%,4.07,13%,0.00,0%,33%,0.0
2728,Garrett Mueller,,3,3,0,"5' 9""",135 lbs.,--,,"Jan 29, 1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0
2729,Lauren Mueller,Princess Tiger,5,3,0,"5' 5""",125 lbs.,"67""",Orthodox,"Nov 15, 1991",4.08,41%,3.77,58%,0.70,50%,71%,0.0
2730,Belal Muhammad,Remember the Name,24,5,0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.43,43%,3.82,55%,2.14,36%,90%,0.1
2731,Fazlo Mulabitinovic,,4,2,0,--,135 lbs.,--,,--,0.54,16%,0.00,100%,0.00,0%,0%,8.0
2732,Quinn Mulhern,,18,4,0,"6' 3""",155 lbs.,--,Orthodox,"Sep 20, 1984",1.48,28%,2.09,51%,1.36,20%,33%,0.0
2733,James Mulheron,,11,2,0,"5' 10""",243 lbs.,"73""",Orthodox,"Feb 20, 1988",2.40,31%,3.47,42%,0.00,0%,25%,0.0
2734,Jamie Mullarkey,,18,9,0,"6' 0""",155 lbs.,"74""",Orthodox,"Aug 17, 1994",4.10,46%,4.28,54%,2.46,30%,70%,0.1
2735,Jim Mullen,,0,2,0,"6' 1""",215 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
2736,Melissa Mullins,No Mess,7,2,0,"5' 7""",135 lbs.,"68""",Orthodox,"Jul 23, 1991",3.71,50%,4.39,52%,2.03,42%,85%,0.0
2737,Ananias Mulumba,Metal,9,3,0,"5' 5""",145 lbs.,"70""",Switch,"Sep 18, 1998",6.10,44%,5.96,52%,0.00,0%,100%,2.1
2738,Pedro Munhoz,The Young Punisher,20,10,0 (2 NC),"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",5.38,41%,6.29,55%,0.48,16%,82%,0.5
2739,Andre Muniz,Sergipano,24,8,0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 17, 1990",2.08,48%,2.46,51%,3.98,48%,35%,1.1
2740,Mark Munoz,The Filipino Wrecking Machine,14,6,0,"6' 0""",185 lbs.,"71""",Orthodox,"Feb 09, 1978",3.12,51%,2.26,57%,3.17,29%,57%,0.6
2741,Alexander Munoz,,7,2,0,"5' 9""",155 lbs.,"72""",Switch,"Feb 27, 1990",3.70,42%,4.73,55%,3.00,40%,100%,0.0
2742,Johnny Munoz,Kid Kvenbo,12,4,0,"5' 9""",135 lbs.,"71""",Orthodox,"Feb 16, 1993",2.44,36%,2.66,55%,2.40,25%,45%,1.8
2743,Andy Murad,The Tooth Fairy,15,2,0,"5' 9""",185 lbs.,--,,--,2.60,76%,2.87,32%,1.00,20%,42%,0.0
2744,Olivier Murad,Warrior of God,6,0,0,"5' 10""",145 lbs.,"72""",Southpaw,"Dec 21, 1993",2.60,36%,2.20,61%,1.00,100%,55%,0.0
2745,Makhmud Muradov,,26,8,0 (1 NC),"6' 2""",185 lbs.,"75""",Orthodox,"Feb 08, 1990",4.21,43%,2.57,61%,3.03,66%,77%,0.2
2746,Kazunari Murakami,,5,5,0,"6' 1""",220 lbs.,--,Orthodox,"Nov 29, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0
2747,Ryuichi Murata,,8,3,1,"5' 8""",183 lbs.,--,Orthodox,"Aug 27, 1976",0.84,36%,1.89,50%,4.74,50%,100%,3.2
2748,Kanako Murata,,12,3,0,"5' 1""",115 lbs.,"62""",Orthodox,"Aug 10, 1993",2.15,56%,2.40,53%,3.38,56%,100%,0.8
2749,Ailiya Muratbek,,9,2,0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
2750,Vince Murdock,,12,4,0 (1 NC),"5' 6""",145 lbs.,"64""",Orthodox,"Mar 21, 1991",1.21,21%,7.17,40%,0.00,0%,0%,0.0
2751,Samandar Murodov,,11,0,0,"6' 1""",170 lbs.,"75""",Orthodox,"Aug 28, 1999",1.50,75%,0.50,44%,6.01,66%,0%,1.5
2752,Tom Murphy,,8,0,0,"6' 2""",227 lbs.,--,Southpaw,"Nov 19, 1974",2.50,71%,0.17,84%,7.51,85%,0%,2.5
2753,Ian Murphy,,1,1,0,"6' 1""",185 lbs.,--,Orthodox,"Jun 14, 1985",0.00,0%,1.93,30%,4.13,100%,0%,0.0
2754,Jon Murphy,Man of Faith,6,4,0,"6' 3""",260 lbs.,--,Orthodox,"Aug 09, 1977",3.93,66%,8.85,43%,0.00,0%,0%,0.0
2755,Lauren Murphy,Lucky,16,7,0,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1983",3.94,38%,5.19,56%,1.09,24%,67%,0.2
2756,Patrick Murphy,,5,3,0,"6' 0""",170 lbs.,--,,--,3.40,66%,0.80,42%,0.00,0%,50%,1.0
2757,Lerone Murphy,The Miracle,17,0,1,"5' 9""",145 lbs.,"73""",Orthodox,"Jul 22, 1991",4.48,53%,2.51,61%,1.41,54%,51%,0.5
2758,Lee Murray,Lightning,8,2,1 (1 NC),"6' 3""",185 lbs.,--,Orthodox,"Sep 12, 1977",0.36,15%,3.28,32%,0.90,100%,42%,1.8
2759,Jesse Murray,Hollywood,8,4,0,"6' 3""",205 lbs.,"78""",Orthodox,"Jan 26, 1993",2.38,28%,7.72,43%,0.00,0%,0%,0.0
2760,Khalid Murtazaliev,,14,2,0,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 15, 1993",4.80,69%,0.40,78%,7.50,100%,33%,0.0
2761,Azamat Murzakanov,The Professional,16,0,0,"5' 10""",205 lbs.,"71""",Southpaw,"Apr 12, 1989",4.70,57%,2.86,60%,0.55,15%,87%,0.0
2762,Josias Musasa,The KO Wizard,8,2,0,"5' 8""",135 lbs.,"74""",Southpaw,"Oct 10, 1998",3.19,45%,4.39,36%,0.90,50%,81%,0.5
2763,Tofiq Musayev,,22,6,0,"5' 9""",155 lbs.,"69""",Orthodox,"Dec 15, 1989",0.44,33%,0.44,71%,0.00,0%,40%,0.0
2764,Nicholas Musoke,Nico,13,5,0 (1 NC),"6' 0""",170 lbs.,"75""",Orthodox,"Apr 05, 1986",3.56,35%,3.80,57%,1.16,19%,82%,0.2
2765,Andre Mussi,,11,5,0,"6' 3""",242 lbs.,--,Orthodox,--,0.00,0%,10.59,35%,0.00,0%,0%,0.0
2766,Magomed Mustafaev,The Sniper,14,4,0,"5' 8""",155 lbs.,"71""",Orthodox,"Aug 02, 1988",2.59,58%,2.68,41%,3.31,50%,23%,0.4
2767,Max Mustaki,,6,3,0,"6' 0""",155 lbs.,--,Orthodox,"Nov 07, 1987",8.20,50%,13.00,45%,0.00,0%,0%,0.0
2768,Elvis Mutapcic,The King,15,6,1,"6' 0""",185 lbs.,"72""",Orthodox,"Jul 19, 1986",3.41,40%,4.27,38%,0.00,0%,81%,0.0
2769,Fiona Muxlow,,6,3,0,"5' 4""",145 lbs.,--,,"May 13, 1977",1.44,27%,5.45,34%,0.00,0%,0%,0.0
2770,Ho Bae Myeon,,13,5,1,"5' 11""",168 lbs.,--,Orthodox,"Nov 01, 1986",3.16,16%,3.16,83%,0.00,0%,0%,0.0
2771,Katsuhiko Nagata,,6,7,3,"5' 7""",154 lbs.,--,Southpaw,"Oct 31, 1973",1.05,19%,1.50,63%,0.98,28%,28%,0.0
2772,Yuji Nagata,,0,2,0,"6' 0""",225 lbs.,--,Orthodox,"Apr 24, 1968",1.45,40%,14.46,4%,0.00,0%,0%,0.0
2773,Greg Nagy,,1,3,0,"6' 1""",210 lbs.,--,Orthodox,"Oct 18, 1983",0.41,50%,2.69,37%,0.00,0%,0%,1.2
2774,Logan Nail,,1,1,0,--,185 lbs.,--,,"Jun 20, 1989",1.93,51%,2.27,39%,0.00,0%,37%,0.0
2775,Muhammad Naimov,Hillman,13,4,0,"5' 9""",145 lbs.,"70""",Orthodox,"Aug 07, 1994",2.51,40%,3.35,44%,1.49,30%,68%,0.2
2776,Yukiya Naito,,15,6,2,"6' 1""",205 lbs.,--,Orthodox,"Feb 28, 1977",1.54,33%,5.13,60%,0.00,0%,0%,0.0
2777,Yura Naito,2 FACE,6,1,0,"6' 0""",185 lbs.,"74""",Orthodox,"Apr 26, 1996",1.22,44%,5.33,28%,1.67,9%,0%,0.0
2778,Andrews Nakahara,,5,4,2,"6' 1""",185 lbs.,--,Orthodox,"Mar 12, 1983",2.68,44%,1.90,57%,0.00,0%,72%,0.4
2779,Rin Nakai,,19,2,1,"5' 1""",135 lbs.,--,Orthodox,"Oct 22, 1986",1.57,33%,3.90,60%,3.00,18%,75%,0.5
2780,Kazuhiro Nakamura,Kaz,21,13,0,"5' 11""",205 lbs.,"70""",Orthodox,"Jul 16, 1979",1.56,37%,1.83,59%,1.73,36%,42%,0.6
2781,Keita Nakamura,K-Taro,34,10,2 (1 NC),"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984",2.23,36%,3.20,58%,1.65,48%,63%,0.3
2782,Daisuke Nakamura,,28,19,1,"5' 7""",154 lbs.,--,Orthodox,"Jun 10, 1980",0.94,30%,1.38,61%,0.46,40%,30%,3.6
2783,Yusaku Nakamura,,14,4,1,"5' 5""",145 lbs.,--,,"Jun 21, 1986",1.72,45%,3.67,55%,0.00,0%,83%,0.0
2784,Rinya Nakamura,Hybred,10,1,0,"5' 7""",135 lbs.,"68""",Southpaw,"Mar 23, 1995",3.27,52%,1.72,63%,2.58,81%,100%,1.4
2785,Keiichiro Nakamura,,8,1,0,"5' 10""",145 lbs.,"70""",Southpaw,"Dec 02, 1998",4.48,41%,4.28,63%,0.00,0%,78%,0.0
2786,Tokitaka Nakanishi,Toky,12,4,0,"5' 6""",135 lbs.,"66""",Orthodox,"Jul 28, 1996",1.10,44%,1.57,45%,3.00,37%,0%,0.0
2787,Jutaro Nakao,,25,19,4,"5' 9""",170 lbs.,--,Southpaw,"Nov 30, 1970",0.53,38%,1.06,44%,0.38,50%,56%,0.0
2788,Yoshihiro Nakao,Kiss,9,3,0 (2 NC),"6' 0""",220 lbs.,--,Southpaw,"Jun 25, 1972",1.73,35%,2.06,64%,2.69,46%,0%,0.5
2789,Mandel Nallo,Mango,14,3,0 (1 NC),"6' 0""",155 lbs.,"75""",Orthodox,"Jul 26, 1989",8.61,62%,2.58,72%,0.00,0%,100%,0.0
2790,Yui Chul Nam,The Korean Bulldozer,18,8,1,"5' 9""",145 lbs.,--,Orthodox,"Jul 16, 1981",3.53,51%,2.00,48%,1.33,16%,57%,0.3
2791,Tyson Nam,,21,14,1,"5' 7""",125 lbs.,"68""",Orthodox,"Oct 06, 1983",3.87,33%,4.97,65%,0.00,0%,87%,0.0
2792,Rose Namajunas,Thug,15,8,0,"5' 5""",125 lbs.,"65""",Orthodox,"Jun 29, 1992",3.50,41%,3.38,63%,1.47,48%,62%,0.3
2793,Yasuhito Namekawa,,25,16,4,"5' 9""",205 lbs.,--,Orthodox,"Oct 27, 1974",0.14,50%,3.65,38%,2.11,25%,0%,4.2
2794,Nad Narimani,Smiler,12,4,0,"5' 8""",145 lbs.,"70""",Orthodox,"Apr 14, 1987",3.33,42%,3.00,58%,1.92,41%,70%,0.0
2795,Roger Narvaez,Silverback,8,3,0,"6' 3""",185 lbs.,--,Southpaw,"Sep 09, 1983",2.12,37%,3.32,64%,0.00,0%,50%,0.9
2796,Fabio Nascimento,Negao,11,6,0,"5' 10""",185 lbs.,--,Orthodox,"Mar 18, 1981",2.94,38%,4.63,55%,0.00,0%,55%,0.8
2797,Allan Nascimento,Puro Osso,22,6,0,"5' 8""",125 lbs.,"69""",Orthodox,"Sep 11, 1991",3.06,55%,2.53,52%,1.26,23%,37%,1.1
2798,Rodrigo Nascimento,Ze Colmeia,11,3,0 (1 NC),"6' 2""",246 lbs.,"80""",Orthodox,"Nov 26, 1992",3.71,47%,4.34,44%,1.02,37%,60%,0.5
2799,Bobby Nash,,8,4,0,"6' 0""",170 lbs.,"74""",Orthodox,"Mar 26, 1990",3.42,37%,3.95,51%,2.37,33%,100%,1.6
2800,Reza Nasri,,0,1,0,"5' 11""",205 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
2801,Nasrudin Nasrudinov,,9,1,0,"6' 0""",205 lbs.,"71""",Orthodox,"Oct 06, 1991",1.03,87%,0.29,75%,2.20,50%,40%,0.0
2802,Pawel Nastula,,5,6,0,"6' 0""",230 lbs.,--,Southpaw,"Jun 26, 1970",1.30,43%,1.73,50%,3.00,60%,0%,1.5
2803,Rafael Natal,Sapo,21,9,1,"6' 0""",185 lbs.,"77""",Orthodox,"Dec 25, 1982",3.10,47%,2.48,57%,2.55,34%,77%,0.5
2804,Kevin Natividad,Quicksand,9,4,0,"5' 6""",135 lbs.,"70""",Orthodox,"Apr 02, 1993",2.68,34%,4.29,47%,3.66,50%,83%,0.0
